index,model,error_type,true_label,pred_label,query_preview,root_cause,mitigation
0,Naive Baseline,False Negative,1,0,"
I want to know the current exchange rate from USD to EUR and how much 100 USD is worth in EUR. Also, please provide me with the available quotes for ",Model predicted normal but trace was actually anomalous. Trace had 7 tool calls across 10 turns. Possible cause: the agent completed tool calls but the final answer was incorrect/incomplete without obvious failure language.,Incorporate semantic similarity between query intent and final response. Add features measuring whether tool outputs were actually used in the answer.
5,Naive Baseline,False Negative,1,0,"
I'm planning a solo trip to Taiwan and I need information about the train schedule. Please provide me with the train details for train number 3456. A",Model predicted normal but trace was actually anomalous. Trace had 2 tool calls across 5 turns. Possible cause: the agent completed tool calls but the final answer was incorrect/incomplete without obvious failure language.,Incorporate semantic similarity between query intent and final response. Add features measuring whether tool outputs were actually used in the answer.
6,Naive Baseline,False Negative,1,0,"
I am looking for a specific company and its associated products. Can you help me find information on a company named 'XYZ Enterprises'? Additionally,",Model predicted normal but trace was actually anomalous. Trace had 1 tool calls across 5 turns. Possible cause: the agent completed tool calls but the final answer was incorrect/incomplete without obvious failure language.,Incorporate semantic similarity between query intent and final response. Add features measuring whether tool outputs were actually used in the answer.
13,XGBoost,False Positive,0,1,"
I'm curious about my genetic traits and my Neanderthal ancestry proportion. Can you fetch the traits and Neanderthal analysis for my 23andMe profile?",Model predicted anomalous but trace was normal. Trace had 4 tool calls across 10 turns. Possible cause: hedging or cautious language in the final response triggered false failure signal.,Add features that distinguish cautious-but-successful responses from actual failures. Consider sentiment analysis on the final turn.
21,XGBoost,False Positive,0,1,"
I'm organizing a team-building event for my company and I want to add some humor to it. Can you find a funny joke about pirates and generate a random",Model predicted anomalous but trace was normal. Trace had 3 tool calls across 8 turns. Possible cause: hedging or cautious language in the final response triggered false failure signal.,Add features that distinguish cautious-but-successful responses from actual failures. Consider sentiment analysis on the final turn.
26,XGBoost,False Positive,0,1,"
My friends and I are concerned about the impact of climate change on our planet. We want to stay updated on the latest news and events. Can you provi",Model predicted anomalous but trace was normal. Trace had 5 tool calls across 14 turns. Possible cause: hedging or cautious language in the final response triggered false failure signal.,Add features that distinguish cautious-but-successful responses from actual failures. Consider sentiment analysis on the final turn.
29,XGBoost,False Negative,1,0,"
My friends and I are planning a hiking trip to the mountains. Can you provide us with the IP reputation details of the hiking trails? Additionally, w",Model predicted normal but trace was actually anomalous. Trace had 3 tool calls across 6 turns. Possible cause: the agent completed tool calls but the final answer was incorrect/incomplete without obvious failure language.,Incorporate semantic similarity between query intent and final response. Add features measuring whether tool outputs were actually used in the answer.
30,XGBoost,False Negative,1,0,"
I am organizing a team-building event for my company and I would appreciate your suggestions for engaging activities. Could you provide me with a col",Model predicted normal but trace was actually anomalous. Trace had 3 tool calls across 10 turns. Possible cause: the agent completed tool calls but the final answer was incorrect/incomplete without obvious failure language.,Incorporate semantic similarity between query intent and final response. Add features measuring whether tool outputs were actually used in the answer.
1,DistilBERT,False Positive,0,1,"
I'm starting a new business and need a catchy name. Can you suggest some trending business names? Also, provide me with images related to those busin",Model predicted anomalous but trace was normal. Trace had 1 tool calls across 4 turns. Possible cause: hedging or cautious language in the final response triggered false failure signal.,Add features that distinguish cautious-but-successful responses from actual failures. Consider sentiment analysis on the final turn.
12,DistilBERT,False Positive,0,1,"
I'm organizing a family gathering and would like to save on expenses. Can you provide me with the latest, trending, and popular coupons for various c",Model predicted anomalous but trace was normal. Trace had 3 tool calls across 9 turns. Possible cause: hedging or cautious language in the final response triggered false failure signal.,Add features that distinguish cautious-but-successful responses from actual failures. Consider sentiment analysis on the final turn.
13,DistilBERT,False Positive,0,1,"
I'm curious about my genetic traits and my Neanderthal ancestry proportion. Can you fetch the traits and Neanderthal analysis for my 23andMe profile?",Model predicted anomalous but trace was normal. Trace had 4 tool calls across 10 turns. Possible cause: hedging or cautious language in the final response triggered false failure signal.,Add features that distinguish cautious-but-successful responses from actual failures. Consider sentiment analysis on the final turn.
0,DistilBERT,False Negative,1,0,"
I want to know the current exchange rate from USD to EUR and how much 100 USD is worth in EUR. Also, please provide me with the available quotes for ",Model predicted normal but trace was actually anomalous. Trace had 7 tool calls across 10 turns. Possible cause: the agent completed tool calls but the final answer was incorrect/incomplete without obvious failure language.,Incorporate semantic similarity between query intent and final response. Add features measuring whether tool outputs were actually used in the answer.
6,DistilBERT,False Negative,1,0,"
I am looking for a specific company and its associated products. Can you help me find information on a company named 'XYZ Enterprises'? Additionally,",Model predicted normal but trace was actually anomalous. Trace had 1 tool calls across 5 turns. Possible cause: the agent completed tool calls but the final answer was incorrect/incomplete without obvious failure language.,Incorporate semantic similarity between query intent and final response. Add features measuring whether tool outputs were actually used in the answer.
